Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,725.4,"39,04,70,936",92,"8,42,74,754","17,13,126","65,15,65,900","5,33,22,81,936","15,05,97,040",210
Not Like Us,Not Like Us,Kendrick Lamar,05-04-2024,545.9,"32,37,03,884",92,"11,63,47,040","34,86,739","3,52,23,547","20,83,39,025","15,63,80,351",188
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,538.4,"60,13,09,283",92,"12,25,99,116","22,28,730","27,51,54,237","3,36,91,20,610","37,37,84,955",190
Flowers,Flowers - Single,Miley Cyrus,01-12-2023,444.9,"2,03,12,80,633",85,"1,09,61,00,899","1,06,29,796","1,07,87,57,968","14,60,37,25,994","3,35,11,88,582",394
Houdini,Houdini,Eminem,5/31/2024,423.3,"10,70,34,922",88,"7,73,73,957","36,70,188","3,52,23,547","5,33,22,81,936","11,27,63,851",182
Lovin On Me,Lovin On Me,Jack Harlow,11-10-2023,410.1,"67,06,65,438",83,"13,11,48,091","13,92,593","21,49,43,489","2,93,86,86,633","2,86,72,22,632",138
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,407.2,"90,01,58,751",86,"30,87,23,145","41,20,760","2,95,84,940","53,49,15,313","4,60,15,79,812",280
Gata Only,Gata Only,FloyyMenor,02-02-2024,375.8,"67,50,79,153",92,"22,83,82,568","14,39,495","33,85,46,668","3,80,45,84,163","2,11,25,81,620",160
Danza Kuduro - Cover,Beautiful Things,MUSIC LAB JPN,06-09-2024,355.7,"1,65,30,18,119",83,"11,63,47,040","36,70,188","3,52,23,547","5,33,22,81,936","11,27,63,851",138
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,330.6,"9,06,76,573",86,"3,27,35,244","9,88,682","12,15,74,500","97,46,56,200","17,47,06,874",191
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,05-10-2024,322.1,"25,00,80,413",91,"3,22,29,063","5,50,191","1,84,500","21,00,000","32,71,30,768",157
The Door,The Door,Teddy Swims,6/14/2024,320.2,"11,11,55,129",83,"11,63,47,040","36,70,188","3,52,23,547","5,33,22,81,936","11,27,63,851",138
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,316.3,"22,16,36,195",92,"4,00,22,524","13,07,290","4,58,89,000","36,00,17,000","34,21,07,131",244
Like That,WE DON'T TRUST YOU,Future,3/22/2024,308.2,"35,51,86,436",88,"9,80,81,493","14,56,177","3,52,23,547","5,33,22,81,936","17,44,91,415",153
